iter	Passed	Remaining
0	918	917513
1	2728	1361561
2	3951	1313331
3	4738	1179789
4	5501	1094867
5	6303	1044238
6	7062	1001844
7	7946	985376
8	8779	966749
9	9609	951348
10	10337	929412
11	11087	912885
12	11813	896882
13	12594	886995
14	13293	872944
15	14046	863861
16	14798	855719
17	15529	847239
18	16247	838889
19	16995	832760
20	17765	828213
21	18571	825588
22	19335	821339
23	20035	814769
24	20775	810257
25	21497	805321
26	22234	801265
27	22969	797382
28	23672	792615
29	24420	789589
30	25201	787739
31	25910	783803
32	26623	780136
33	27373	777730
34	28057	773593
35	28772	770452
36	29474	767139
37	30163	763619
38	30859	760407
39	31597	758338
40	32311	755775
41	33018	753132
42	33803	752314
43	34659	753057
44	36169	767602
45	37005	767462
46	37874	767958
47	38655	766661
48	39390	764491
49	40147	762809
50	40901	761082
51	41613	758638
52	42363	756939
53	43155	756028
54	43874	753843
55	44745	754275
56	45705	756141
57	46566	756304
58	47302	754437
59	47956	751316
60	48711	749841
61	49514	749101
62	50360	749006
63	51093	747239
64	51819	745398
65	52522	743278
66	53216	741059
67	53905	738824
68	54775	739067
69	55541	737910
70	56275	736342
71	56977	734370
72	57673	732379
73	58424	731095
74	59187	729982
75	59927	728594
76	60623	726694
77	61359	725298
78	62024	723093
79	62702	721084
80	63444	719823
81	64162	718308
82	64889	716909
83	65638	715767
84	66470	715539
85	67242	714647
86	67893	712486
87	68631	711276
88	69359	709963
89	70072	708505
90	70809	707318
91	71540	706077
92	72226	704405
93	72938	703007
94	73655	701663
95	74341	700050
96	75330	701274
97	76297	702246
98	77315	703649
99	78041	702371
100	78704	700547
101	79363	698711
102	80057	697199
103	80756	695749
104	81493	694632
105	82269	693855
106	83022	692890
107	84016	693912
108	84636	691841
109	85327	690377
110	86107	689635
111	86782	688061
112	87478	686670
113	88178	685313
114	88855	683802
115	89496	682027
116	90193	680691
117	90866	679186
118	91572	677944
119	92299	676865
120	92994	675558
121	93699	674328
122	94396	673052
123	95076	671667
124	95751	670262
125	96438	668949
126	97133	667695
127	97892	666892
128	98709	666482
129	99507	665934
